,datestamp,energy,unique_meter_seqid,wind_observation_direction_angle,sky_condition_observation_ceiling_height_dimension,visibility_observation_distance_dimension,air_temperature,air_pressure,dew_point_temperature
0,2015-05-01 01:00:00,281.0,2517,110.0,7620.0,16093.0,11.1,1012.8,3.3
1,2015-05-01 02:00:00,279.0,2517,80.0,2134.0,16093.0,10.6,1012.8,3.3
2,2015-05-01 03:00:00,280.5,2517,65.0,2286.0,16046.5,10.3,1012.95,3.3
3,2015-05-01 04:00:00,292.0,2517,50.0,1981.0,16093.0,10.0,7004.3666666667,3.9
4,2015-05-01 05:00:00,306.0,2517,50.0,1981.0,16093.0,10.0,1013.3,4.4
5,2015-05-01 06:00:00,323.0,2517,55.0,2438.0,16046.5,10.0,1013.3,4.7
6,2015-05-01 07:00:00,375.0,2517,80.0,2591.0,16093.0,10.0,1013.3,3.3
7,2015-05-01 08:00:00,446.0,2517,50.0,2438.0,16093.0,9.4,1013.3,5.0
8,2015-05-01 09:00:00,530.5,2517,50.0,7620.0,16046.5,9.15,1013.5,5.0
9,2015-05-01 10:00:00,545.0,2517,50.0,2286.0,16093.0,9.4,1014.3,4.4
10,2015-05-01 11:00:00,542.5,2517,60.0,2286.0,16093.0,9.4,1014.8,4.4
11,2015-05-01 12:00:00,540.5,2517,55.0,2286.0,16046.5,10.0,1014.85,4.7
12,2015-05-01 13:00:00,534.0,2517,50.0,2286.0,16093.0,11.7,1015.4,4.4
13,2015-05-01 14:00:00,533.5,2517,50.0,1372.0,16093.0,12.2,1015.6,3.9
14,2015-05-01 15:00:00,527.0,2517,50.0,1372.0,16046.5,12.75,1015.5,5.0
15,2015-05-01 16:00:00,507.5,2517,60.0,7620.0,16093.0,13.3,1014.9,4.4
16,2015-05-01 17:00:00,453.0,2517,,1676.0,16093.0,14.4,1014.7,4.4
17,2015-05-01 18:00:00,396.0,2517,190.0,22000.0,16046.5,14.7,1014.45,4.7
18,2015-05-01 19:00:00,374.0,2517,170.0,7620.0,16093.0,13.9,1013.7,5.0
19,2015-05-01 20:00:00,334.0,2517,180.0,7620.0,16093.0,13.3,1013.6,4.4
20,2015-05-01 21:00:00,289.5,2517,175.0,22000.0,16046.5,12.75,1013.75,4.4
21,2015-05-01 22:00:00,279.5,2517,180.0,7620.0,16093.0,11.1,1014.3,3.9
22,2015-05-01 23:00:00,277.0,2517,170.0,1981.0,16093.0,10.6,1014.6,3.9
23,2015-05-02 00:00:00,271.5,2517,160.0,7620.0,16046.5,10.3,1014.8,3.9
24,2015-05-02 01:00:00,268.0,2517,130.0,2134.0,16093.0,10.0,1015.3,3.9
25,2015-05-02 02:00:00,266.5,2517,150.0,2134.0,16093.0,9.4,1015.4,3.3
26,2015-05-02 03:00:00,267.0,2517,150.0,1981.0,16046.5,9.4,1015.3,3.3
27,2015-05-02 04:00:00,278.5,2517,50.0,22000.0,16093.0,9.4,5507.5,3.9
28,2015-05-02 05:00:00,288.0,2517,,22000.0,16093.0,8.9,1015.0,3.9
29,2015-05-02 06:00:00,289.0,2517,70.0,2134.0,16046.5,9.15,1014.9,4.15
30,2015-05-02 07:00:00,303.5,2517,,1981.0,16093.0,9.4,1014.9,4.4
31,2015-05-02 08:00:00,325.0,2517,90.0,22000.0,16093.0,8.9,1014.8,3.9
32,2015-05-02 09:00:00,331.5,2517,90.0,22000.0,16046.5,8.9,1014.9,4.45
33,2015-05-02 10:00:00,327.0,2517,90.0,22000.0,16093.0,9.4,1015.6,4.4
34,2015-05-02 11:00:00,325.5,2517,,22000.0,16093.0,10.6,1015.6,4.4
35,2015-05-02 12:00:00,324.5,2517,,22000.0,16046.5,11.4,1015.65,5.0
36,2015-05-02 13:00:00,321.0,2517,,22000.0,16093.0,13.9,1015.5,6.1
37,2015-05-02 14:00:00,316.5,2517,,22000.0,16093.0,15.0,1015.6,5.0
